RowNum	Transcript	PnPs	dNdS	Alpha_original	Alpha_Asymptotic	Alpha_Default	Mk_test	NI
1	Manes.01G000150.2.v7.1	NA	0.40732	NA	NA	NA	NA	NA
2	Manes.01G000300.5.v7.1	0.5	0.23392	-3.2749658002736	-1.4937300501596	0.774726066897348	-1.1374829001368	2.1374829001368
3	Manes.01G000400.5.v7.1	0.25	0.21088	-6.37649637497892	-2.66051699810984	-2.9690309527306	-0.185508345978756	1.18550834597876
4	Manes.01G000500.3.v7.1	1	0.57502	-0.449224954494336	-1.17861509642665	-0.407509092094538	-0.739069945393204	1.7390699453932
5	Manes.01G000600.1.v7.1	1	0.27881	-4.38000789067824	-1.85605357159462	-1.86455180642574	-2.58667192711883	3.58667192711883
6	Manes.01G000850.1.v7.1	NA	0.10843	NA	NA	NA	NA	NA
7	Manes.01G001100.3.v7.1	0.333333333333333	0.30785	-3.17643100767999	-2.17771924497391	-2.71012057261514	-0.0827784093985153	1.08277840939852
8	Manes.01G001200.2.v7.1	1	0.19555	-3.38324140702049	-4.57271076319913	-7.09304058308108	-4.11378164152391	5.11378164152391
9	Manes.01G001400.1.v7.1	0.25	0.11123	-25.9711408792592	-2.52486275808233	-3.45793162606334	-1.2475950732716	2.2475950732716
10	Manes.01G001600.3.v7.1	0.285714285714286	0.2017	-9.90728805156172	-1.98389614205182	-2.55663799126223	-0.416530915787238	1.41653091578724
11	Manes.01G001700.8.v7.1	1	0.39278	-1.71568477688952	-1.51182640221685	-1.3375315560806	-1.54595447833393	2.54595447833393
12	Manes.01G001800.5.v7.1	2	0.15678	-2.82701875239189	-4.94905158625021	-4.79453847388369	-11.7567291746396	12.7567291746396
13	Manes.01G001900.11.v7.1	1	0.34682	-1.43974928249192	-2.361902726874	-1.99278481427909	-1.88334006112681	2.88334006112681
14	Manes.01G002001.2.v7.1	0	0.35175	-3.26439232409382	-1.63691892504352	-2.09206654897555	1	0
15	Manes.01G002051.1.v7.1	NA	0.10123	NA	NA	NA	NA	NA
16	Manes.01G002101.1.v7.1	2	0.36372	0.0835441181861505	-4.99862031732701	-3.65396990950146	-4.4987352908831	5.4987352908831
17	Manes.01G002201.1.v7.1	NA	0.15397	NA	NA	NA	NA	NA
18	Manes.01G002300.1.v7.1	1	1.20663	0.17124553508532	0.486961521719484	0.744690156776284	0.17124553508532	0.82875446491468
19	Manes.01G002400.2.v7.1	0	0.36246	-4.51785024554434	-1.375741077942G7	-2.02369293697369	1	0
20	Manes.01G002500.1.v7.1	0.333333333333333	0.08534	-81.0248418092336	-1.60396323203916	7.32391070638085	-2.90594484805874	3.90594484805874
21	Manes.01G002600.1.v7.1	0.333333333333333	0.17	-14.4411764705882	-1.46558197747184	-1.0854006863955	-0.960784313725488	1.96078431372549
22	Manes.01G002800.1.v7.1	0.555555555555556	0.11974	-18.4866655531429	-2.41186391653461	-2.16337930681778	-3.63968227455784	4.63968227455784
23	Manes.01G002901.1.v7.1	0.2	0.1497	-14.5867290135827	-3.78945312007663	-6.61976798242879	-0.336005344021376	1.33600534402138
24	Manes.01G003100.2.v7.1	1	0.29678	-1.49049947699511	-3.44226722951704	-3.51891001598068	-2.36949929240515	3.36949929240515
