Transcript	dNdS	pNpS	Mk_10pct
Manes.01G000150.2.v7.1	0.40732	NA	NA
Manes.01G000300.5.v7.1	0.23392	0.5	-1.1374829001368
Manes.01G000400.5.v7.1	0.21088	0.25	-0.185508345978756
Manes.01G000500.3.v7.1	0.57502	1	-0.739069945393204
Manes.01G000600.1.v7.1	0.27881	1	-2.58667192711883
Manes.01G000850.1.v7.1	0.10843	Inf	-Inf
Manes.01G001100.3.v7.1	0.30785	0.333333333333333	-0.0827784093985153
Manes.01G001200.2.v7.1	0.19555	1	-4.11378164152391
Manes.01G001400.1.v7.1	0.11123	0.25	-1.2475950732716
Manes.01G001600.3.v7.1	0.2017	0.285714285714286	-0.416530915787238
Manes.01G001700.8.v7.1	0.39278	1	-1.54595447833393
Manes.01G001800.5.v7.1	0.15678	2	-11.7567291746396
Manes.01G001900.11.v7.1	0.34682	1	-1.88334006112681
Manes.01G002001.2.v7.1	0.35175	0	1
Manes.01G002051.1.v7.1	0.10123	NA	NA
Manes.01G002101.1.v7.1	0.36372	2	-4.4987352908831
Manes.01G002201.1.v7.1	0.15397	NA	NA
Manes.01G002300.1.v7.1	1.20663	1	0.17124553508532
Manes.01G002400.2.v7.1	0.36246	0	1
Manes.01G002500.1.v7.1	0.08534	0.333333333333333	-2.90594484805874
Manes.01G002600.1.v7.1	0.17	0.333333333333333	-0.960784313725488
Manes.01G002800.1.v7.1	0.11974	0.555555555555556	-3.63968227455784
Manes.01G002901.1.v7.1	0.1497	0.2	-0.336005344021376
Manes.01G003100.2.v7.1	0.29678	1	-2.36949929240515
Manes.01G003200.1.v7.1	0.22	0.571428571428571	-1.5974025974026
Manes.01G003300.1.v7.1	0.19134	1	-4.22629873523571
Manes.01G003500.1.v7.1	0.35382	2.33333333333333	-5.59469033218396
Manes.01G003700.1.v7.1	0.04858	Inf	-Inf
Manes.01G003800.1.v7.1	0.02265	0.428571428571429	-17.9214758751183
Manes.01G003900.1.v7.1	0.12485	0	1
Manes.01G004000.1.v7.1	0.20589	1.22222222222222	-4.93628744583137
Manes.01G004100.2.v7.1	0.27684	2	-6.22438953908395
Manes.01G004300.1.v7.1	1e-04	Inf	-Inf
Manes.01G004501.2.v7.1	0.19281	0.625	-2.24153311550231
Manes.01G004625.1.v7.1	2	NA	NA
Manes.01G004800.1.v7.1	1e-04	0	1
Manes.01G004820.1.v7.1	0.21616	0	1
Manes.01G004880.1.v7.1	1e-04	NA	NA
Manes.01G004933.1.v7.1	0.7143	NA	NA
Manes.01G005000.2.v7.1	0.35775	1.85714285714286	-4.19117500249577
Manes.01G005033.1.v7.1	0.11956	1.33333333333333	-10.1520017843203
Manes.01G005066.1.v7.1	0.24081	0.2	0.169469706407541
Manes.01G005100.5.v7.1	0.29921	0	1
Manes.01G005233.1.v7.1	0.20697	0.857142857142857	-3.14138695048972
Manes.01G005500.2.v7.1	0.15474	0.6875	-3.44293653871009
Manes.01G005512.1.v7.1	0.19422	NA	NA
Manes.01G005524.1.v7.1	0.68923	NA	NA
Manes.01G005536.1.v7.1	1.64013	NA	NA
Manes.01G005548.1.v7.1	1.1648	NA	NA
Manes.01G005572.1.v7.1	0.19565	NA	NA
Manes.01G005584.1.v7.1	0.71749	1	-0.393747648050844
Manes.01G005600.1.v7.1	1.40987	NA	NA
Manes.01G005700.1.v7.1	1.21239	1	0.175182903191217
Manes.01G006000.1.v7.1	0.12849	0.333333333333333	-1.59423560847796
Manes.01G006050.1.v7.1	0.3107	NA	NA
Manes.01G006100.1.v7.1	0.04462	0	1
Manes.01G006200.5.v7.1	0.19032	1.5	-6.88146279949559
Manes.01G006300.1.v7.1	0.2401	0	1
Manes.01G006400.1.v7.1	0.11759	Inf	-Inf
Manes.01G007000.2.v7.1	0.34858	2	-4.73756383039761
Manes.01G007100.5.v7.1	0.56778	2.18181818181818	-2.84271756986541
Manes.01G007300.8.v7.1	0.49485	2.2	-3.44579165403658
Manes.01G007400.2.v7.1	0.31064	0.25	0.195209889260881
Manes.01G007500.1.v7.1	0.46927	0	1
Manes.01G007600.2.v7.1	0.15083	0.25	-0.65749519326394
Manes.01G007700.2.v7.1	0.13247	1.5	-10.3233184872047
Manes.01G007800.1.v7.1	0.05719	0	1
Manes.01G007900.2.v7.1	0.24071	0.5	-1.0771883178929
Manes.01G008000.1.v7.1	0.08741	0.833333333333333	-8.53361552835297
Manes.01G008100.1.v7.1	0.19314	0.333333333333333	-0.72586379482931
Manes.01G008200.2.v7.1	0.35583	2	-4.62066155186465
Manes.01G008250.5.v7.1	0.66238	3	-3.52912225610677
Manes.01G008300.1.v7.1	0.37126	2.6	-6.00317836556591
Manes.01G008500.1.v7.1	0.27616	0.25	0.0947276940903824
Manes.01G008600.1.v7.1	0.24403	0.875	-2.58562471827234
Manes.01G008800.1.v7.1	0.14144	3	-20.210407239819
Manes.01G008900.4.v7.1	0.19555	0.285714285714286	-0.461080469006832
Manes.01G009000.1.v7.1	0.2033	0.8	-2.93507132316773
Manes.01G009100.1.v7.1	0.28196	2.66666666666667	-8.45760627985058
Manes.01G009300.1.v7.1	0.27036	2.66666666666667	-8.86339202051587
Manes.01G009350.3.v7.1	0.07259	NA	NA
Manes.01G009451.1.v7.1	0.04402	3	-67.1508405270332
Manes.01G009500.2.v7.1	2	3	-0.5
Manes.01G009700.1.v7.1	0.23301	0.538461538461538	-1.31089454727925
Manes.01G009850.1.v7.1	0.73049	1.71428571428571	-1.34676137152557
Manes.01G009900.2.v7.1	0.50108	1	-0.99568931108805
Manes.01G010000.1.v7.1	0.17306	0.454545454545455	-1.62651944149691
Manes.01G010100.1.v7.1	0.13162	1.5	-10.3964443093755
Manes.01G010300.3.v7.1	0.54896	0.7	-0.275138443602448
Manes.01G010800.3.v7.1	0.56858	3.5	-5.1556860951845
Manes.01G010866.1.v7.1	0.82358	1.5	-0.821316690546152
Manes.01G011000.4.v7.1	0.20536	0.384615384615385	-0.872883641485124
Manes.01G011042.2.v7.1	0.5389	0.857142857142857	-0.590541579407788
Manes.01G011100.7.v7.1	0.26062	0.375	-0.438876525209117
Manes.01G011113.1.v7.1	0.4252	1.5	-2.5277516462841
Manes.01G011184.4.v7.1	0.21846	1.3	-4.95074613201501
Manes.01G011200.1.v7.1	0.19043	0.5	-1.62563671690385
Manes.01G011300.1.v7.1	0.24392	0.5	-1.04985241062644
Manes.01G011400.2.v7.1	0.09354	0.25	-1.67265341030575
Manes.01G011432.1.v7.1	2	1.42857142857143	0.285714285714285
Manes.01G011600.4.v7.1	0.35199	0.5	-0.420494900423307
Manes.01G011700.3.v7.1	0.42658	0.35	0.17952084017066
Manes.01G011800.2.v7.1	0.06239	0	1
Manes.01G011998.1.v7.1	0.27613	0.5	-0.810741317495383
Manes.01G012000.1.v7.1	0.4896	2.4	-3.90196078431373
Manes.01G012100.1.v7.1	0.28009	0.545454545454545	-0.947425989698115
Manes.01G012200.4.v7.1	0.24601	0.818181818181818	-2.32580715491979
Manes.01G012300.1.v7.1	0.35768	0.666666666666667	-0.86386341608887
Manes.01G012400.1.v7.1	0.42595	2	-3.69538678248621
Manes.01G012500.1.v7.1	0.44944	0.857142857142857	-0.907135228601942
Manes.01G012564.1.v7.1	0.76195	1.28571428571429	-0.687399810636249
Manes.01G012600.1.v7.1	0.34758	1.125	-2.23666494044536
Manes.01G012700.1.v7.1	0.18899	0.666666666666667	-2.52752350212533
Manes.01G012800.2.v7.1	0.13437	0.333333333333333	-1.48071246061869
Manes.01G012900.3.v7.1	0.06899	0.8	-10.5958834613712
Manes.01G013000.3.v7.1	0.41933	1.42105263157895	-2.38886469267391
Manes.01G013100.1.v7.1	0.4057	2.5	-5.16218880946512
Manes.01G013300.3.v7.1	0.38223	1	-1.61622583261387
Manes.01G013371.1.v7.1	0.44183	1.4	-2.16863952198809
Manes.01G013600.4.v7.1	0.12491	0.428571428571429	-2.43104177865206
