Transcript	Total_SNPs	NonSyn_MAF0.01	NonSyn_MAF0.05	Del_MAF0.01	Del_MAF0.05	Nonsyn_Maf1_resid	Nonsyn_Maf5_resid	Del_Maf1_resid	Del_Maf5_resid
Manes.01G000300.5.v7.1	7	3	1	0	0	0.34744099949146	0.178644860867807	-0.258825704058932	-0.180383470034133
Manes.01G000400.5.v7.1	40	17	1	1	0	-1.08247634697057	-1.77728309114632	-0.148760800169194	-0.504569468750633
Manes.01G000500.3.v7.1	20	11	4	0	0	0.251097216441639	-0.0171939828299233	-0.416522959173507	-0.308091651118638
Manes.01G000600.1.v7.1	18	8	1	0	0	-0.0665523841689684	-0.473297564541451	-0.392261766620797	-0.2884442107751
Manes.01G000850.1.v7.1	10	7	2	0	0	0.729963569057433	0.192388278947813	-0.295217335325258	-0.209854597964164
Manes.01G001100.3.v7.1	30	15	1	1	0	-0.227758488905664	-1.1845316298926	-0.027454370255394	-0.406329547877147
Manes.01G001200.2.v7.1	25	16	4	0	0	0.575427224644516	-0.313529973112224	-0.477176222641118	-0.357210420266539
Manes.01G001400.1.v7.1	25	5	2	0	0	-1.49174026035167	-0.696625830999192	-0.477176222641118	-0.357210420266539
Manes.01G001600.3.v7.1	20	8	2	0	0	-0.312658687483665	-0.400285553200105	-0.416522959173507	-0.308091651118638
Manes.01G001700.8.v7.1	52	30	6	0	0	-0.116147953211852	-1.53073501796623	-0.804718296596119	-0.622461707933418
Manes.01G001800.5.v7.1	21	6	4	0	0	-0.811557778644857	-0.0764611177263035	-0.428653576570107	-0.317915383354204
Manes.01G001900.11.v7.1	52	31	7	1	0	0.0717720104636147	-1.3391652283113	-0.294331012995699	-0.622461707933418
Manes.01G002001.2.v7.1	10	4	0	0	0	0.166198297790745	-0.190704226365324	-0.295217335325258	-0.209854597964164
Manes.01G002051.1.v7.1	8	1	0	0	0	-0.151452897452093	-0.0721693140271222	-0.270956251059864	-0.190207184682557
Manes.01G002101.1.v7.1	9	6	2	0	0	0.665096417600335	0.251656069784241	-0.283086794308534	-0.200030893598056
Manes.01G002300.1.v7.1	4	2	1	0	0	0.528686001373006	0.356449254462314	-0.222434025160055	-0.150912279916243
Manes.01G002400.2.v7.1	7	2	0	0	0	0.159520580517784	-0.0129017877293834	-0.25882570404997	-0.180383470037152
